bins_keV,counts,poisson_error_counts,duration_seconds
1.000000E+01,-9.999000E+03,-9.999000E+03,-9.999000E+03
1.258925E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.584893E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.995262E+01,0.000000E+00,0.000000E+00,6.400000E-02
2.511886E+01,0.000000E+00,0.000000E+00,6.400000E-02
3.162278E+01,0.000000E+00,0.000000E+00,6.400000E-02
3.981072E+01,0.000000E+00,0.000000E+00,6.400000E-02
5.011872E+01,0.000000E+00,0.000000E+00,6.400000E-02
6.309573E+01,0.000000E+00,0.000000E+00,6.400000E-02
7.943282E+01,0.000000E+00,0.000000E+00,6.400000E-02
1.000000E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.258925E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.584893E+02,0.000000E+00,0.000000E+00,6.400000E-02
1.995262E+02,0.000000E+00,0.000000E+00,6.400000E-02
2.511886E+02,3.200000E+01,5.656854E+00,6.400000E-02
3.162278E+02,1.060000E+02,1.029563E+01,6.400000E-02
3.981072E+02,3.030000E+02,1.740690E+01,6.400000E-02
5.011872E+02,5.010000E+02,2.238303E+01,6.400000E-02
6.309573E+02,4.080000E+02,2.019901E+01,6.400000E-02
7.943282E+02,3.230000E+02,1.797220E+01,6.400000E-02
1.000000E+03,2.830000E+02,1.682260E+01,6.400000E-02
1.258925E+03,2.030000E+02,1.424781E+01,6.400000E-02
1.584893E+03,1.400000E+02,1.183216E+01,6.400000E-02
1.995262E+03,1.030000E+02,1.014889E+01,6.400000E-02
2.511886E+03,7.500000E+01,8.660254E+00,6.400000E-02
3.162278E+03,6.300000E+01,7.937254E+00,6.400000E-02
3.981072E+03,4.100000E+01,6.403124E+00,6.400000E-02
5.011872E+03,2.000000E+01,4.472136E+00,6.400000E-02
6.309573E+03,1.000000E+01,3.162278E+00,6.400000E-02
7.943282E+03,1.700000E+01,4.123106E+00,6.400000E-02
1.000000E+04,1.000000E+01,3.162278E+00,6.400000E-02
1.258925E+04,1.600000E+01,4.000000E+00,6.400000E-02
1.584893E+04,9.000000E+00,3.000000E+00,6.400000E-02
1.995262E+04,1.400000E+01,3.741657E+00,6.400000E-02
2.511886E+04,2.000000E+01,4.472136E+00,6.400000E-02
3.162278E+04,1.080000E+02,1.039230E+01,6.400000E-02
3.981072E+04,5.900000E+01,7.681146E+00,6.400000E-02
5.011872E+04,0.000000E+00,0.000000E+00,6.400000E-02
6.309573E+04,0.000000E+00,0.000000E+00,6.400000E-02
7.943282E+04,0.000000E+00,0.000000E+00,6.400000E-02
1.000000E+05,0.000000E+00,0.000000E+00,6.400000E-02
